metric_key,economic_category,cou_metric_key,year,GDP,GDP_15,GDP_PC,GDP_PC_PPP,GDP_PC_PPP_17,GDP_PEMP,GDP_PPP,MFG_VA,ELC_POP,ELC_RUR_POP,CO2GDP,AtmCO2
developed-2014,Developed,croatia-2014,2014,58330289756.6914,48927438241.1142,11543.87627967,22325.0765880566,24072.4388046611,65158.1592909497,94622359034.9767,12.7534006786541,100.0,100.0,0.149,0.314
developed-2015,Developed,croatia-2015,2015,50163192883.1515,50163192883.1515,11933.3773788281,23301.2728639377,24884.6652307486,65882.6719697456,97949323815.94,12.7756525093805,100.0,100.0,0.149,0.29
developed-2016,Developed,croatia-2016,2016,52295158344.2544,51935173677.1936,12441.5025378073,25210.9829651516,25944.2583430013,67986.3305089597,105239441529.598,12.8974559086743,100.0,100.0,0.148,0.273
developed-2017,Developed,croatia-2017,2017,56214427431.2,53708288421.7449,13021.671657152,27154.0846858541,27154.0846858541,69255.1247070086,111997864063.431,12.763583361614,100.0,100.0,0.146,0.289
developed-2018,Developed,croatia-2018,2018,62247874948.8225,55265833941.4365,13519.5588337019,28877.2382842567,28192.3285390241,70353.2581438457,118045616379.631,12.3130757572138,100.0,100.0,0.134,0.288
developed-2019,Developed,croatia-2019,2019,62246206340.5469,57190160216.5408,14068.0445267591,30543.996342705,29336.0854506088,71958.0153851384,124169072764.171,11.9159365010512,100.0,100.0,0.131,0.279
developed-2000,Developed,france-2000,2000,1365639660792.16,2046499571261.18,33597.3662427446,26090.6344736521,39732.2824515749,97978.2047761851,1589245772376.34,14.4775579354586,100.0,100.0,0.151,0.228
developed-2001,Developed,france-2001,2001,1377657339291.34,2087096421588.52,34015.3809173194,27490.0517282233,40226.6270677305,97720.8070433987,1686718979590.94,14.0304251722793,100.0,100.0,0.149,0.24
developed-2002,Developed,france-2002,2002,1501409382971.38,2110796058518.4,34152.3658925504,28523.8861886505,40388.6256508389,97715.9569220537,1762926373243.27,13.5850900821184,100.0,100.0,0.145,0.226
developed-2003,Developed,france-2003,2003,1844544792036.86,2128171303325.76,34190.3029345668,28172.6956506635,40433.4900386568,96101.4875295261,1753606060052.07,13.0939137751078,100.0,100.0,0.146,0.218
